Auxes,Best Percentage Reduction,Total Constraints Needed
0,0.0317529296875,220
1,0.02580021604895592,91
2,0.016776136356688773,186
3,0.009920897531735688,181
4,0.005952599071394511,252
5,0.003472228352375326,252
6,0.001984175900214477,288
7,0.0011160989438706434,354
8,0.000620039830756262,328
9,0.0003451772031450114,340
10,0.00020495949833961445,357
