Percent,False Positives,Constraints
0.0,0.0,192.0
1.0,0.0,192.0
2.0,0.0,192.0
3.0,0.0,192.0
4.0,0.005,192.0
5.0,0.005,192.0
6.0,0.0325,192.0
7.0,0.07,192.0
8.0,0.16,192.0
9.0,0.255,192.0
10.0,0.3775,192.0
